L1
1 7.25 4 -5534.4580604989724
1 7.5 4 -5673.1701106031514
1 7.75 4 -5757.0936068490882
1 8 4 -5806.9759728029267
1 8.25 4 -5832.9839436674501
1 8.5 4 -5841.7912616551021
1 8.75 4 -5838.2907405868364
1 9 4 -5826.4932935950628
1 9.25 4 -5810.3227744283558
1 9.5 4 -5793.4496682615290
1 9.75 4 -5779.5985173044501
1 10 4 -5771.7251571040442
1 10.25 4 -5769.3092994832368
1 10.5 4 -5768.7802509615240
1 10.75 4 -5768.6401368125498
1 11 4 -5768.5993578224661
1 11.25 4 -5768.5886600280664
1 11.5 4 -5768.5864664229312
1 11.75 4 -5768.5861648901455
1 12 4 -5768.5861422208500
1 12.25 4 -5768.5861415727877
1 12.5 4 -5768.5861415660393
1 12.75 4 -5768.5861415658846
1 13 4 -5768.5861415657964
1 13.25 4 -5768.5861415657419
1 13.5 4 -5768.5861415658401
1 13.75 4 -5768.5861415658428
1 14 4 -5768.5861415657891
1 14.25 4 -5768.5861415658483
1 14.5 4 -5768.5861415657992
1 14.75 4 -5768.5861415657819
1 15 4 -5768.5861415657437
1 23.5 4 -5768.5861875614737
1 23.75 4 -5768.5861875616474
1 24 4 -5768.5861875621849
