L0.72
0.72 7 4 -5091.4293640387132
0.72 7.25 4 -5165.3758339778879
0.72 7.75 4 -5240.8730831150287
0.72 8 4 -5253.5960257779816
0.72 8.25 4 -5255.1640130566302
0.72 8.5 4 -5248.9294005385855
0.72 8.75 4 -5237.8405275381701
0.72 9 4 -5224.5687076759477
0.72 9.25 4 -5212.0725215075181
0.72 9.5 4 -5203.1799743598649
0.72 9.75 4 -5199.2140332612917
0.72 10 4 -5198.2367801029395
0.72 10.25 4 -5198.0144658925983
0.72 10.5 4 -5197.9529650865779
0.72 10.75 4 -5197.9356250380270
0.72 11 4 -5197.9314371624805
0.72 11.25 4 -5197.9306773334802
0.72 11.5 4 -5197.9305876960407
0.72 11.75 4 -5197.9305820401505
0.72 12 4 -5197.9305819124265
0.72 12.25 4 -5197.9305819112942
0.72 12.5 4 -5197.9305819111914
0.72 12.75 4 -5197.9305819111869
0.72 13 4 -5197.9305819111605
0.72 13.25 4 -5197.9305819111787
0.72 13.5 4 -5197.9305819110823
0.72 13.75 4 -5197.9305819111605
0.72 14 4 -5197.9305819112542
0.72 14.25 4 -5197.9305819111123
0.72 14.5 4 -5197.9305819111096
0.72 14.75 4 -5197.9305819111860
0.72 15 4 -5197.9305819111505
0.72 23.5 4 -5197.9305617191339
0.72 23.75 4 -5197.9305617191085
0.72 24 4 -5197.9305617191530
