           1  -567.16112907516037     
           1  -567.16112905551677     
           1  -567.16112909699348     
           1  -567.06361902571666     
           1  -566.99404808501390     
           1  -567.06361902571666     
           1  -567.06361902571666     
           1  -564.06368789951091     
           1  -564.06368789951091     
           1  -566.01796793589824     
           1  -561.69676521521717     
           1  -558.61391599290357     
           1  -4104.6117463849250     
           1  -4035.4024505843759     
           1  -4035.4024193500240     
           1  -3860.9560933118855     
           1  -3743.2314748052813     
           1  -4434.6004433001444     
           1  -3811.5169646537333     
           1  -7314.1729807567190     
           1  -7314.1729826170731     
           1  -7201.0943199615604     
           1  -57428.657624443425     
           1  -54427.745503230697     
