           1   4386.1932136661990     
           1   4386.1932136783289     
           2  -570.66714360465778     
           3  -5561.5663060413972     
           4  -8138.1896658582255     
           1   4386.1932136678342     
           2  -570.66714360559808     
           3  -5561.5663060389124     
           4  -8138.1896658580454     
           1   4386.1932136689657     
           1   4386.1932136689657     
           2  -570.66714360518529     
           3  -5561.5663060416191     
           4  -8138.1896658585629     
